,,,,,,,,,,,
,Dados matérias 1969,,,,,,,,,,
,,,,,,,,,,,
,ITEM,TÍTULO DO TEXTO,DATA,SEÇÃO/ EDITORIA,PERFIL DEMOGRÁFICO (VÍTIMA),LOCAL (CIDADE / ESTADO),ESPAÇO,TERMOS ENCONTRADOS,EIXOS TEMÁTICOS,TIPOS DE VIOLÊNCIA ,LINK
,1,"""Italiano apostou espôsa no pôquer por uma semana"" ",03/01/1969,Capa,"Não há informações sobre o nome, a raça, a idade ou a nacionalidade da vítima. ","Roma, Itália",Rua ,Espôsa; marido; mulher; jovem,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),Violência simbólica; violência doméstica e intrafamiliar,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=66320
,2,"""Atentados na Guanabara""",09/01/1969,Capa,"Raça: negra. Não há informações sobre o nome, a idade ou a naturalidade da vítima ","Guanabara, RJ ",Rua ,Mulher; preta; morte; polícia ,hibridismo entre o discurso jornalístico e o policial/jurídico ,Violência institucional; violência física; violência letal; violência contra  mulher negra; violência simbólica,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=66482
,3,"""Paraibano pratica crime da mala""",10/01/1969,Primeiro caderno ,"Não há informações sobre a raça, a naturalidade nem a idade da vítima","Rio de Janeiro, RJ",Não fica claro ,polícia; crime; criminoso; mulher; assassinato; esquartejamento; bárbaro; paraibano; vítima.,hibridismo entre o discurso jornalístico e o policial/jurídico ,violência física; violência letal; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=66515
,4,"""Viajante interrogado""",17/01/1969,Policial Diário,"Neste caso, a vítima da morte é o amante da esposa do assassino. O nome, a raça, a idade e a naturalidade da mulher não são citados","Não fica claro, mas parece ter ocorrido no Recife ",Carro,mulher; espôsa; juiz; delegado; assassinato; revólver; tiros; crime; engenheiro ,"
objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico","
violência doméstica e intrafamiliar; violência simbólica; ",http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=66743
,5,"""Quatro pessoas morreram assassinadas em menos de vinte e quatro horas"" ",21/01/1969,Primeiro caderno ,"
Não há informações sobre a raça, a naturalidade nem a idade da vítima. O nome é citado ","Recife, PE",Residência,homicídio; assassinato; amante; criminoso; mulher; fúria; faca peixeira ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),violência física; violência letal; violência doméstica e familiar; ,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=66875
,6,"""Baile acabado""*                         ",21/01/1969,Diario Policial ,"
Não há informações sobre os nomes, a raça e a naturalidade das vítimas, mas há um dado relevante sobre a sua performance de gênero: elas eram travestis","Recife, PE",Residência," 
Policiais/polícia; Delegacia de Costumes; travestir; baderna; Secretaria de Segurança Pública, infratores ",objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurífico,Violência institucional; violência psicológica; violência simbólica; violência contra pessoa LGBTQIA+,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=66875
,7,"""Adultério à italiana""                                      ",24/01/1969,Diário Feminino,"
Não há informações sobre a raça e a idade das possíveis vítimas. Presume-se apenas que são italianas ","Sicília, Itália",Violência simbólica,Adultério; realidade violenta; crimes contra a honra; mulher; marido; traição; fama; prisão; homem; casamento; igualdade; casa; procriar; lei. ,objetificação da mulher (sentimentos de posse e/ou controle sobre o corpo feminino),Violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica;,http://memoria.bn.br/DocReader/DocReader.aspx?bib=029033_14&Pesq=mulher&pagfis=66944
